コード,名称,市場,セクター,時価総額,発行株式数,株価,配当金,業種別PER,EPS,BPR
1933,SYSKEN,東証二部,建設,4677,2620000,1785,50.00,12.9,231.54,4503.23
1934,ユアテック,東証一部,建設,69284,81224462,853,20.00,12.9,81.74,1374.84
1935,TTK,東証二部,建設,11207,21226071,528,20.00,12.9,45.09,893.80
1936,シーキューブ,名証一部,建設,16172,27644699,585,14.00,12.9,55.70,1230.73
1937,西部電気工業,東証一部,建設,11551,4627680,2496,90.00,12.9,158.12,6093.38
1938,日本リーテック,東証二部,建設,31843,25617717,1243,15.00,12.9,142.73,1699.40
1939,四電工,東証一部,建設,24952,8127735,3070,65.00,12.9,267.67,5469.94
1941,中電工,東証一部,建設,193891,58138117,3335,94.00,12.9,143.15,3866.59
1942,関電工,東証一部,建設,240393,205288338,1171,24.00,12.9,91.55,1035.22
1944,きんでん,東証一部,建設,416868,218141080,1911,26.00,12.9,110.62,1848.93
1945,東京エネシス,東証一部,建設,45757,37261752,1228,20.00,12.9,121.65,1678.60
1946,トーエネック,東証一部,建設,65529,19329990,3390,65.00,12.9,213.89,4700.35
1948,弘電社,東証二部,建設,6817,1794000,3800,120.00,12.9,416.84,7743.41
1949,住友電設,東証一部,建設,76368,35635879,2143,44.00,12.9,157.38,1656.09
1950,日本電設工業,東証一部,建設,148059,61537219,2406,30.00,12.9,156.65,2203.90
1951,協和エクシオ,東証一部,建設,279098,117812419,2369,50.00,12.9,165.84,1685.87
1952,新日本空調,東証一部,建設,40856,25282225,1616,40.00,12.9,122.43,1604.02
1954,日本工営,東証一部,サービス,64929,15894571,4085,75.00,25.0,317.37,3530.44
1956,NDS,東証一部,建設,22856,6296298,3630,100.00,12.9,326.52,6794.52
1959,九電工,東証一部,建設,315890,70986444,4450,80.00,12.9,347.59,2019.60
1960,サンテック,東証二部,建設,17220,20000000,861,20.00,12.9,84.21,1612.47
1961,三機工業,東証一部,建設,80213,63661156,1260,20.00,12.9,78.64,1337.51
1963,日揮,東証一部,建設,479507,259052929,1851,25.00,12.9,83.23,1508.40
1964,中外炉工業,東証一部,建設,17183,7800000,2203,60.00,12.9,115.65,2495.30
1965,テクノ菱和,東証二部,建設,18517,22888604,809,20.00,12.9,80.87,1455.61
1966,高田工業所,東証二部,建設,5170,7220950,716,10.00,12.9,161.16,1538.42
1967,ヤマト,東証一部,建設,18769,26927652,697,10.00,12.9,77.21,900.92
1968,太平電業,東証一部,建設,53845,20341980,2647,60.00,12.9,246.93,3200.23
1969,高砂熱学工業,東証一部,建設,162138,82765768,1959,30.00,12.9,106.04,1508.64
1971,中央ビルト工業,東証二部,金属製品,3033,2378740,1275,25.00,16.2,59.49,1581.25
1972,三晃金属工業,東証一部,建設,14731,3960000,3720,150.00,12.9,529.02,3878.22
1973,NECネッツエスアイ,東証一部,情報通信,129910,49773807,2610,74.00,23.8,134.98,1859.00
1975,朝日工業社,東証一部,建設,23120,6800000,3400,100.00,12.9,328.84,4121.56
1976,明星工業,東証一部,建設,44481,59386718,749,18.00,12.9,65.62,798.07
1979,大氣社,東証一部,建設,116599,36782009,3170,73.00,12.9,207.57,2816.37
1980,ダイダン,東証一部,建設,64051,22981901,2787,46.00,12.9,215.29,2615.20
1981,協和日成,JQS,建設,8732,11800000,740,15.00,12.9,73.83,1183.03
1982,日比谷総合設備,東証一部,建設,76912,31000309,2481,60.00,12.9,252.35,2288.33
1983,東芝プラントシステム,東証一部,建設,190919,97656888,1955,40.00,12.9,138.59,1356.22
1984,三信建設工業,JQS,建設,3750,10000000,375,10.00,12.9,26.01,599.83
1987,ソルコム,東証二部,建設,11765,5911983,1990,40.00,12.9,207.61,4936.08
1989,北陸電話工事,東証二部,建設,3354,8968960,374,8.00,12.9,19.91,653.00
1992,神田通信機,JQS,建設,1758,874409,2010,30.00,12.9,193.32,4373.90
1994,高橋カーテンウォール工業,JQS,建設,6209,9553011,650,20.00,12.9,68.69,813.48
1997,暁飯島工業,JQS,建設,2871,2200000,1305,30.00,12.9,211.88,1925.54
1999,サイタホールディングス,福証,建設,1256,6610000,190,3.00,12.9,20.62,329.50
2001,日本製粉,東証一部,食料品,144004,82524009,1745,30.00,27.0,112.16,1827.26
2002,日清製粉グループ本社,東証一部,食料品,614194,304357891,2018,28.00,27.0,66.71,1308.63
2003,日東富士製粉,東証一部,食料品,18863,4692364,4020,90.00,27.0,327.53,6669.10
2004,昭和産業,東証一部,食料品,96569,32969979,2929,50.00,27.0,167.90,2365.76
2008,増田製粉所,東証二部,食料品,3690,1000000,3690,60.00,27.0,307.12,4805.00
2009,鳥越製粉,東証一部,食料品,22990,26036374,883,13.00,27.0,48.98,1372.22
2053,中部飼料,東証一部,食料品,61291,30371908,2018,20.00,27.0,115.44,1590.40
2055,日和産業,東証二部,食料品,6895,20830825,331,5.00,27.0,25.89,878.25
2058,ヒガシマル,福証,食料品,4936,4746000,1040,9.00,27.0,77.79,1282.01
2060,フィード・ワン,東証一部,食料品,56847,197385640,288,4.50,27.0,18.27,156.53
2107,東洋精糖,東証一部,食料品,6525,5456000,1196,30.00,27.0,97.19,1410.96
2108,日本甜菜製糖,東証一部,食料品,36782,15325642,2400,50.00,27.0,84.85,4880.48
2109,三井製糖,東証一部,食料品,111351,28333480,3930,100.00,27.0,299.59,2920.31
2112,塩水港精糖,東証一部,食料品,9100,35000000,260,5.00,27.0,28.77,287.72
2114,フジ日本精糖,東証二部,食料品,17849,29748200,600,10.00,27.0,23.09,599.54
2117,日新製糖,東証一部,食料品,45937,22673883,2026,69.00,27.0,90.58,2273.10
2120,LIFULL,東証一部,サービス,107267,118789100,903,-,25.0,-,154.54
2121,ミクシィ,東証マザ,サービス,430270,78230850,5500,121.00,25.0,605.34,1916.15
2122,インタースペース,東証マザ,サービス,14129,6967200,2028,11.00,25.0,117.94,579.15
2124,ジェイエイシーリクルートメント,東証一部,サービス,82708,41292000,2003,50.00,25.0,87.67,247.87
2127,日本M＆Aセンター,東証一部,サービス,450288,81870600,5500,34.00,25.0,85.15,218.61
2130,メンバーズ,東証一部,サービス,8815,12575200,701,9.50,25.0,37.44,191.96
2134,燦キャピタルマネージメント,JQS,サービス,3730,44941244,83,0.00,25.0,5.68,34.99
2136,ヒップ,JQS,サービス,4254,3975300,1070,12.00,25.0,65.91,513.93
2137,光ハイツ・ヴェラス,札証アンビ,サービス,2403,2089200,1150,-,25.0,86.16,1643.07
2138,クルーズ,JQS,情報通信,32138,12917100,2488,-,23.8,-,997.55
2139,中広,東証一部,サービス,5283,7044000,750,12.00,25.0,26.47,266.62
2144,やまねメディカル,JQG,サービス,2640,11330000,233,0.00,25.0,1.46,126.16
2146,UTグループ,JQS,サービス,87104,40607986,2145,-,25.0,79.56,160.16
2148,アイティメディア,東証マザ,サービス,12726,20135700,632,10.00,25.0,27.34,245.25
2150,ケアネット,東証マザ,サービス,8662,11048000,784,6.00,25.0,16.73,151.59
2151,タケエイ,東証一部,サービス,28137,24552000,1146,20.00,25.0,64.54,1116.94
2152,幼児活動研究会,JQS,サービス,12202,5892000,2071,15.00,25.0,110.33,990.39
2153,E・Jホールディングス,東証二部,サービス,9730,7261060,1340,30.00,25.0,174.22,2423.77
2154,トラスト・テック,東証一部,サービス,60728,19433000,3125,55.00,25.0,134.83,339.37
2156,セーラー広告,JQS,サービス,2139,6078000,352,10.00,25.0,-,480.95
2157,コシダカホールディングス,東証一部,サービス,90530,20575000,4400,40.00,25.0,198.53,1065.46
2158,FRONTEO,東証マザ,サービス,25240,38011862,664,0.00,25.0,2.37,122.61
2159,フルスピード,東証マザ,サービス,15509,15571000,996,-,25.0,62.94,184.54
2160,ジーエヌアイグループ,東証マザ,サービス,60957,134561831,453,0.00,25.0,-0.54,71.21
2162,nmsホールディングス,JQS,サービス,13085,10805500,1211,7.00,25.0,99.06,531.31
2163,アルトナー,JQS,サービス,8013,5313960,1508,26.00,25.0,81.12,339.92
2164,地域新聞社,JQG,サービス,784,1843800,425,2.00,25.0,-9.22,238.62
2168,パソナグループ,東証一部,サービス,64412,41690300,1545,12.00,25.0,27.17,519.80
2169,CDS,東証一部,サービス,9209,6924400,1330,40.00,25.0,95.01,719.38
2170,リンクアンドモチベーション,東証一部,サービス,80278,113068000,710,6.20,25.0,19.88,61.88
2172,インサイト,札証アンビ,サービス,522,1605000,325,8.40,25.0,7.48,292.45
2173,博展,JQG,サービス,2305,3855200,598,14.00,25.0,23.35,209.13
2174,GCA,東証一部,サービス,38705,38782952,998,35.00,25.0,63.41,450.36
2175,エス・エム・エス,東証一部,サービス,155213,43416200,3575,-,25.0,78.28,401.22
2176,イナリサーチ,JQS,サービス,2144,2998800,715,0.00,25.0,2.00,174.81
2178,トライステージ,東証マザ,サービス,17303,30517200,567,22.50,25.0,20.64,275.68
2179,成学社,JQS,サービス,5565,5876000,947,10.40,25.0,29.32,327.92
2180,サニーサイドアップ,JQG,サービス,6144,7420600,828,10.00,25.0,44.20,198.20
2181,パーソルホールディングス,東証一部,サービス,646367,236677955,2731,18.00,25.0,94.94,609.54
2183,リニカル,東証一部,サービス,37308,24740000,1508,11.00,25.0,70.44,178.76
2185,シイエム・シイ,JQS,サービス,10222,2394000,4270,85.00,25.0,412.50,4901.51
2186,ソーバル,JQS,サービス,7922,8167498,970,24.00,25.0,46.66,351.52
2191,テラ,JQS,サービス,8007,16999156,471,0.00,25.0,-24.47,45.95
2193,クックパッド,東証一部,サービス,81249,107188800,758,-,25.0,-,208.75
2195,アミタホールディングス,JQG,サービス,1509,1169424,1290,0.00,25.0,12.83,441.31
2196,エスクリ,東証一部,サービス,10563,11935500,885,12.00,25.0,64.52,492.26
2198,アイ・ケイ・ケイ,東証一部,サービス,26692,29956800,891,12.00,25.0,47.32,349.41
2201,森永製菓,東証一部,食料品,343563,54189769,6340,45.00,27.0,257.52,1761.47
